address,hub,direction,distance,peer
0x0012d8d0,,-,1000000000,0
0x0012d930,,-,1000000000,0
0x0012d940,,-,1000000000,0
0x0012d950,0x00511940,upstream,4,0
0x0012d990,0x004ba240,upstream,1,0
0x0012d9f0,,-,1000000000,0
0x0012dae0,,-,1000000000,0
0x0012daf0,0x004ba240,upstream,1,0
0x0012db40,,-,1000000000,0
0x0012db60,,-,1000000000,0
0x0012dba0,,-,1000000000,0
0x0012dbb0,,-,1000000000,0
0x0012dd70,,-,1000000000,0
0x0012ded0,,-,1000000000,0
0x0012df60,0x004ba240,upstream,1,0
0x0012e010,0x004ba240,upstream,1,0
0x0012e0c0,,-,1000000000,0
0x0012e120,,-,1000000000,0
0x0012e190,,-,1000000000,0
0x0012e1a0,,-,1000000000,0
0x0012e230,,-,1000000000,0
0x0012e2c0,0x0011b5d0,upstream,1,0
0x0012e430,0x004ba240,upstream,1,0
0x0012e480,0x0011b5d0,upstream,1,0
0x0012e4e0,,-,1000000000,0
0x0012e600,0x004ba240,upstream,2,0
0x0012e660,0x004ba240,upstream,1,0
0x0012e860,0x004ba240,upstream,1,0
0x0012e8b0,0x004ba240,upstream,1,0
0x0012e920,0x004ba240,upstream,1,0
0x0012ea10,,-,1000000000,0
0x0012ea30,,-,1000000000,0
0x0012eaf0,,-,1000000000,0
0x0012eb00,,-,1000000000,0
0x0012eb10,0x004ba240,upstream,1,0
0x0012eb60,,-,1000000000,0
0x0012ecb0,,-,1000000000,0
0x0012ecc0,,-,1000000000,0
