address,name,status,symboled,module,score,leaf_hint,body_bytes,cop2,loops,globals,return_kind,confidence,args,labels,callers,callees,calls_real,stub_frontier,conflicts,hub,hub_dir
0x00429b80,FUN_00429b80,real_logic,False,-,7.28,other,214,1,0,0,int,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=int,0,0,0,,0,0x00428998,upstream
0x0042acd0,FUN_0042acd0,real_logic,False,-,7.28,other,214,1,0,0,int,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=int,0,0,0,,2,,-
0x0042bb70,FUN_0042bb70,real_logic,False,-,7.28,other,214,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
0x0042c1e8,FUN_0042c1e8,real_logic,False,-,7.28,other,214,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,2,,-
0x0042c238,FUN_0042c238,real_logic,False,-,7.28,other,214,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x0042fb10,FUN_0042fb10,real_logic,False,-,7.28,other,214,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x00431488,FUN_00431488,real_logic,False,-,7.28,other,214,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x0040f030,FUN_0040f030,real_logic,False,-,7.26,convert,288,0,1,0,void,0.45,a0=int;a1=-;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int,0,0,0,,0,,-
0x0033a050,FUN_0033a050,real_logic,False,-,7.2,other,210,1,0,0,void,0.60,a0=ptr;a1=w;a2=w;a3=-,a0=ptr|a1=Unknown_a1_8|a2=int|a3=int,0,0,0,,0,,-
0x00428630,FUN_00428630,real_logic,False,-,6.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
