address,name,module,status,arg,label,provenance,confidence,hops,vias
0x00105d30,0x00105d30,,stub_code,a0,Unknown_a0_20,DIRECT,0.75,0,-
0x00105d30,0x00105d30,,stub_code,a1,int,DIRECT,0.50,0,-
0x00105d30,0x00105d30,,stub_code,a2,int,DIRECT,0.50,0,-
0x00105d30,0x00105d30,,stub_code,a3,int,DIRECT,0.50,0,-
0x00105d30,0x00105d30,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00106f90,0x00106f90,,stub_code,a0,Unknown_a0_5a4,DIRECT,0.75,0,-
0x00106f90,0x00106f90,,stub_code,a1,int,DIRECT,0.50,0,-
0x00106f90,0x00106f90,,stub_code,a2,int,DIRECT,0.50,1,-;0x001057e0->0x00106f90
0x00106f90,0x00106f90,,stub_code,a3,int,DIRECT,0.50,1,-;0x001057e0->0x00106f90
0x00106f90,0x00106f90,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00107050,0x00107050,,stub_code,a0,ptr,STRUCT_FIELD,0.55,0,-
0x00107050,0x00107050,,stub_code,a1,int,DIRECT,0.50,0,-
0x00107050,0x00107050,,stub_code,a2,int,DIRECT,0.50,0,-
0x00107050,0x00107050,,stub_code,a3,int,DIRECT,0.50,0,-
0x00107050,0x00107050,,stub_code,ret,ptr,DIRECT,0.70,0,-
0x001071e0,FUN_001071e0,core/mem,real_c,a0,Unknown_a0_0_4_8_c_10_14_18_1c_20_24_28_2c_30_34_38_3c,DIRECT,0.95,1,-;0x0058a7f0->0x001071e0
0x001071e0,FUN_001071e0,core/mem,real_c,a1,Unknown_a1_0_4_8_c_10_14_18_1c_20_24_28_2c_30_34_38_3c,DIRECT,0.95,0,-
0x001071e0,FUN_001071e0,core/mem,real_c,a2,int,DIRECT,0.50,4,-;0x0011e840->0x001071e0;0x0011f9a0->0x001071e0;0x00120c40->0x001071e0;0x00125460->0x001071e0;0x001276c0->0x001071e0;0x00127a70->0x001071e0;0x00160b90->0x001071e0;0x00166040->0x001071e0;0x00166e20->0x001071e0;0x001a7c00->0x001071e0;0x001aa8a0->0x001071e0;0x001e9dc0->0x001071e0;0x001e9e30->0x001071e0;0x001e9ea0->0x001071e0;0x0020fd00->0x001071e0;0x00276bf0->0x001071e0;0x0027bcb0->0x001071e0;0x002be3b0->0x001071e0;0x002c0130->0x001071e0;0x002cfbe0->0x001071e0;0x002d02d0->0x001071e0;0x002d18e0->0x001071e0;0x00312ad0->0x001071e0;0x003200b0->0x001071e0;0x00561ed0->0x001071e0;0x0056c8f0->0x001071e0;0x0056dd40->0x001071e0;0x0056dfb0->0x001071e0;0x0058a7f0->0x001071e0;0x005b4fb0->0x001071e0;0x005b6780->0x001071e0;0x005cb860->0x001071e0;0x005d0670->0x001071e0;0x005d1da0->0x001071e0;0x005d5070->0x001071e0;0x005d99b0->0x001071e0;0x005e2d60->0x001071e0;0x005fbe60->0x001071e0
